feature_set,target,model_name,seed,fold,r2,rmse,mae,pearson_r,n_valid
embedding_plus_context,S1_VH,ridge,42,2,0.9397190898530229,1.2128181659176842,0.883142233366151,0.9694169573683011,687
embedding_plus_context,S1_VH,ridge,42,3,0.9404286010497788,1.2170217030504513,0.8780180479940777,0.9700306794897887,644
embedding_plus_context,S1_VH,ridge,42,4,0.9338452606349048,1.276074504604082,0.9614611251016023,0.9665773513809521,772
embedding_plus_context,S1_VH,ridge,52,1,0.9324214470540195,1.2868203404986653,0.9647872603942281,0.9657276093098215,777
embedding_plus_context,S1_VH,ridge,52,2,0.9397190898530229,1.2128181659176842,0.883142233366151,0.9694169573683011,687
embedding_plus_context,S1_VH,ridge,52,3,0.9404286010497788,1.2170217030504513,0.8780180479940777,0.9700306794897887,644
embedding_plus_context,S1_VH,ridge,52,4,0.9338452606349048,1.276074504604082,0.9614611251016023,0.9665773513809521,772
embedding_plus_context,S1_VH,ridge,62,1,0.9324214470540195,1.2868203404986653,0.9647872603942281,0.9657276093098215,777
embedding_plus_context,S1_VH,ridge,62,2,0.9397190898530229,1.2128181659176842,0.883142233366151,0.9694169573683011,687
embedding_plus_context,S1_VH,ridge,62,3,0.9404286010497788,1.2170217030504513,0.8780180479940777,0.9700306794897887,644
embedding_plus_context,S1_VH,ridge,62,4,0.9338452606349048,1.276074504604082,0.9614611251016023,0.9665773513809521,772
embedding_plus_context,S1_VH,lightgbm,42,1,0.9431753390671884,1.1799997072991752,0.8744279005913548,0.971934310911408,777
embedding_plus_context,S1_VH,lightgbm,42,2,0.9495296218066234,1.1097472370394592,0.8452061825377902,0.9744529410659387,687
embedding_plus_context,S1_VH,lightgbm,42,3,0.945848185294314,1.160341782793673,0.8716491001081013,0.9725925867383035,644
embedding_plus_context,S1_VH,lightgbm,42,4,0.9394554545334457,1.220767790107365,0.9141044812190412,0.96947111657035,772
embedding_plus_context,S1_VH,lightgbm,52,1,0.9431753390671884,1.1799997072991752,0.8744279005913548,0.971934310911408,777
embedding_plus_context,S1_VH,lightgbm,52,2,0.9495296218066234,1.1097472370394592,0.8452061825377902,0.9744529410659387,687
embedding_plus_context,S1_VH,lightgbm,52,3,0.945848185294314,1.160341782793673,0.8716491001081013,0.9725925867383035,644
embedding_plus_context,S1_VH,lightgbm,52,4,0.9394554545334457,1.220767790107365,0.9141044812190412,0.96947111657035,772
embedding_plus_context,S1_VH,lightgbm,62,1,0.9431753390671884,1.1799997072991752,0.8744279005913548,0.971934310911408,777
embedding_plus_context,S1_VH,lightgbm,62,2,0.9495296218066234,1.1097472370394592,0.8452061825377902,0.9744529410659387,687
embedding_plus_context,S1_VH,lightgbm,62,3,0.945848185294314,1.160341782793673,0.8716491001081013,0.9725925867383035,644
embedding_plus_context,S1_VH,lightgbm,62,4,0.9394554545334457,1.220767790107365,0.9141044812190412,0.96947111657035,772
embedding_plus_context,S1_VV_div_VH,ridge,42,1,0.7193790132586608,1.0293798947226447,0.7633564501869184,0.8487044096512462,777
embedding_plus_context,S1_VV_div_VH,ridge,42,2,0.6940023495767926,1.0964511630393687,0.8308276784207617,0.8337357974747077,687
embedding_plus_context,S1_VV_div_VH,ridge,42,3,0.7483569504437633,1.0308360617576373,0.7617175430290659,0.86528432591417,644
embedding_plus_context,S1_VV_div_VH,ridge,42,4,0.7615930848260554,1.1023743602957508,0.7775012686692027,0.8772487898414576,772
embedding_plus_context,S1_VV_div_VH,ridge,52,1,0.7193790132586608,1.0293798947226447,0.7633564501869184,0.8487044096512462,777
embedding_plus_context,S1_VV_div_VH,ridge,52,2,0.6940023495767926,1.0964511630393687,0.8308276784207617,0.8337357974747077,687
embedding_plus_context,S1_VV_div_VH,ridge,52,3,0.7483569504437633,1.0308360617576373,0.7617175430290659,0.86528432591417,644
embedding_plus_context,S1_VV_div_VH,ridge,52,4,0.7615930848260554,1.1023743602957508,0.7775012686692027,0.8772487898414576,772
embedding_plus_context,S1_VV_div_VH,ridge,62,1,0.7193790132586608,1.0293798947226447,0.7633564501869184,0.8487044096512462,777
embedding_plus_context,S1_VV_div_VH,ridge,62,2,0.6940023495767926,1.0964511630393687,0.8308276784207617,0.8337357974747077,687
embedding_plus_context,S1_VV_div_VH,ridge,62,3,0.7483569504437633,1.0308360617576373,0.7617175430290659,0.86528432591417,644
embedding_plus_context,S1_VV_div_VH,ridge,62,4,0.7615930848260554,1.1023743602957508,0.7775012686692027,0.8772487898414576,772
embedding_plus_context,S1_VV_div_VH,lightgbm,42,1,0.721892109313317,1.0247602323361735,0.7643811441063678,0.8498965362400877,777
embedding_plus_context,S1_VV_div_VH,lightgbm,42,2,0.6950687604129832,1.0945389132036627,0.822335721713466,0.8339230484447155,687
embedding_plus_context,S1_VV_div_VH,lightgbm,42,3,0.7527446966978764,1.0218095115168222,0.7720332961626868,0.8686743512440961,644
embedding_plus_context,S1_VV_div_VH,lightgbm,42,4,0.752686326536736,1.1227776101709843,0.7914088803154202,0.8684161639311078,772
embedding_plus_context,S1_VV_div_VH,lightgbm,52,1,0.721892109313317,1.0247602323361735,0.7643811441063678,0.8498965362400877,777
embedding_plus_context,S1_VV_div_VH,lightgbm,52,2,0.6950687604129832,1.0945389132036627,0.822335721713466,0.8339230484447155,687
embedding_plus_context,S1_VV_div_VH,lightgbm,52,3,0.7527446966978764,1.0218095115168222,0.7720332961626868,0.8686743512440961,644
embedding_plus_context,S1_VV_div_VH,lightgbm,52,4,0.752686326536736,1.1227776101709843,0.7914088803154202,0.8684161639311078,772
embedding_plus_context,S1_VV_div_VH,lightgbm,62,1,0.721892109313317,1.0247602323361735,0.7643811441063678,0.8498965362400877,777
embedding_plus_context,S1_VV_div_VH,lightgbm,62,2,0.6950687604129832,1.0945389132036627,0.822335721713466,0.8339230484447155,687
embedding_plus_context,S1_VV_div_VH,lightgbm,62,3,0.7527446966978764,1.0218095115168222,0.7720332961626868,0.8686743512440961,644
embedding_plus_context,S1_VV_div_VH,lightgbm,62,4,0.752686326536736,1.1227776101709843,0.7914088803154202,0.8684161639311078,772
